Address, City, State, Zip Code, Latitude, Longitude
605 Rockaway Turnpike, Lawrence,New York,11559-1029,40.630392,-73.7401964
976 3rd Avenue, Brooklyn,New York,11232-2400,40.655708,-74.009228
32-50 Vernon Boulevard, Long Island City,New York,11106-4927,40.7643203,-73.9418094
50 Overlook Boulevard, Nanuet,New York,10954-5292,41.1069392,-74.0250031
1 Industrial Lane, New Rochelle,New York,10805-1203,40.896349,-73.7945562
20 Stew Leonard Drive, Yonkers,New York,10710-7202,40.9749617,-73.8612905
2975 Richmond Avenue, Staten Island,New York,10314-5851,40.5725754,-74.1682831
61-35 Junction Boulevard, Rego Park,New York,11374,40.7333304,-73.8635717
1 Westchester Ave., Port Chester,New York,10573,40.9993371,-73.661779
517 E 117th St, New York,New York,10035,40.7953912,-73.9311399
5351 Gingerwood Dr, Wilmington,North Carolina,28405-3091,34.2489389,-77.8727175
500 Tyvola Road, Charlotte,North Carolina,28217-3504,35.1613718,-80.8846601
2125 Matthews Township Pkwy, Matthews,North Carolina,28105-5766,35.1295315,-80.7046465
1510 North Pointe Drive, Durham,North Carolina,27705-3405,36.0291871,-78.913978
2838 Wake Forest Rd, Raleigh,North Carolina,27609-7840,35.8181006,-78.621394
4201 West Wendover Ave, Greensboro,North Carolina,27407-1908,36.0574121,-79.8835837
1085 Hanes Mall Blvd., Winston Salem,North Carolina,27103-1310,36.0640469,-80.3179073
9691 Waterstone Blvd, Cincinnati,Ohio,45249-8220,39.296329,-84.3027139
1100 East Kemper Road, Springdale,Ohio,45246-3321,39.2886399,-84.4512247
1409 Golden Gate Blvd., Cleveland,Ohio,44124-1808,41.5242673,-81.4464932
3405 West Central Ave, Toledo,Ohio,43606-1402,41.6773134,-83.6254676
1500 Gemini Place, Columbus,Ohio,43240-7002,40.1509807,-82.9774326
16690 Royalton Rd, Strongsville,Ohio,44136,41.3168811,-81.8160285
35804 Detroit Road, Avon,Ohio,44011,41.4599691,-82.0116551
2500 Northeast Highway 20, Bend,Oregon,97701-6277,44.0549134,-121.267109
3639 Crater Lake Highway, Medford,Oregon,97504-9259,42.3687833,-122.8593886
2828 Chad Drive, Eugene,Oregon,97408-7337,44.0888556,-123.0662122
3130 Killdeer Ave, Albany,Oregon,97321-5325,44.6386398,-123.0650669
1010 Hawthorne Avenue SE, Salem,Oregon,97301-5090,44.9193948,-122.9953355
4849 NE 138th Ave, Portland,Oregon,97230-3401,45.5597183,-122.5248687
7855 SW Dartmouth Ave, Tigard,Oregon,97223-8401,45.4371582,-122.7568518
1255 NE 48th Ave, Hillsboro,Oregon,97124-5008,45.5362124,-122.9356253
25900 SW Heather Place, Wilsonville,Oregon,97070-5785,45.3326726,-122.7633932
13130 SE 84th Avenue, Clackamas,Oregon,97015-9733,45.4284925,-122.5752487
15901 SW Jenkins, Aloha,Oregon,97006-5098,45.5091632,-122.8415811
4141 NE Stephens, Roseburg,Oregon,97470,43.2593583,-123.3498068
1804 SE Ensign Lane, Warrenton,Oregon,97146,46.1469136,-123.9139027
740 Upper State Road, North Wales,Pennsylvania,19454-1403,40.2368982,-75.2340298
201 Allendale Road, King of Prussia,Pennsylvania,19406-1634,40.0913642,-75.3869742
1875 Hempstead Road, Lancaster,Pennsylvania,17601-5671,40.0532232,-76.2563224
5125 Jonestown Road Suite 221, Harrisburg,Pennsylvania,17112-2983,40.3083075,-76.7965173
1050 Cranberry Square Drive, Cranberry Township,Pennsylvania,16066-6142,40.6906756,-80.1077281
501 W Waterfront Dr, West Homestead,Pennsylvania,15120-5009,40.402736,-79.9217439
202 Costco Drive, Pittsburgh,Pennsylvania,15205,40.4587928,-80.1658596
1021 Woodruff Rd, Greenville,South Carolina,29607-4108,34.8360858,-82.311008
1021 Oak Forest Lane, Myrtle Beach,South Carolina,29577-9795,33.705222,-78.9159532
